RedBull,Ferrari,Mercedes,McLaren,AstonMartin,Alpine,KickSauber,Haas,VCARB,Williams
27.9,19.3,20.1,23.2,13.6,8.4,6.6,6.3,8.5,6.3
28,19.6,20.2,23.3,14.1,8.3,6.5,6.2,8.4,6.2
28.2,19.9,20.3,23.6,14,8.1,6.3,6.7,8.3,6.7
28.2,20.9,19.8,23.9,14.5,8,6.2,7.2,8.8,6.6
28.4,21.2,19.9,24,15,7.9,6,7.7,8.6,6.4
28.6,21.5,20.2,24.1,15.1,8.4,5.9,8.2,8.4,6.3
28.7,21.8,20.3,24.2,14.6,8.9,6.4,8.7,8.9,6.2
28.8,22.1,20.6,24.5,15.1,8.8,6.3,9.2,8.8,6.0
28.8,23.1,21.6,25.5,15.2,8.6,6.8,9,9.3,6.5
28.8,22.6,21.9,25.6,15.5,9.1,7.3,9.5,9.8,6.3
