VER,PER,SAI,LEC,HAM,RUS,NOR,PIA,ALO,STR,OCO,GAS,RIC,TSU,ALB,SAR,MAG,HUL,BOT,ZHO
0,0,0,2,0,2,0,0,3,0,0,0,0,3,2,2,0,6,3,0
0,0,0,1,1,0,2,0,1,20,0,20,2,6,0,0,0,0,1,5
20,0,0,0,20,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,2,0,2,2,1,0,0,0,20,0,20,0,0,0,1,20
0,1,0,0,0,0,5,3,4,4,0,0,20,20,0,0,0,7,23,0
1,0,2,1,4,2,20,7,9,26,2,0,0,0,4,20,5,2,0,0
0,0,1,0,0,1,0,0,0,0,2,1,4,3,20,5,0,1,2,0
0,20,0,0,0,0,0,0,0,1,20,0,0,0,0,0,35,35,0,0
0,20,20,20,0,2,0,1,0,0,0,0,3,6,20,20,0,0,0,0
0,0,0,0,0,0,1,0,2,0,2,2,0,2,0,1,1,0,4,0
4,1,0,5,0,0,19,0,5,0,5,3,0,0,0,1,0,2,0,1
0,0,0,3,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,4
