Driver1,Driver2,Driver3,Driver4,Driver5,Constr1,Constr2,DRS,Chip,Transfers
RUS,ALO,ALB,SAI,ZHO,AstonMartin,Ferrari,SAI,None,0
VER,SAR,ALB,LEC,HUL,AstonMartin,Ferrari,VER,None,20
VER,BOT,ALB,LEC,HUL,AstonMartin,Ferrari,VER,None,0
VER,BOT,ALB,LEC,HUL,AstonMartin,Ferrari,VER,None,0
VER,BOT,ALB,TSU,ZHO,RedBull,Ferrari,VER,None,0
VER,BOT,ALB,TSU,GAS,RedBull,Ferrari,VER,NoNegative,0
VER,BOT,ALB,TSU,GAS,RedBull,Ferrari,VER,None,0
LEC,SAI,ALB,TSU,GAS,Mercedes,Ferrari,LEC,None,0
VER,OCO,ALB,TSU,GAS,Mercedes,RedBull,VER,None,10
VER,OCO,ALB,TSU,GAS,Mercedes,RedBull,VER,None,0
VER,OCO,ALB,TSU,BOT,McLaren,RedBull,VER,None,0
VER,TSU,ALB,GAS,HUL,McLaren,Mercedes,VER,None,0
PIA,RUS,ALB,TSU,HUL,McLaren,Mercedes,PIA,None,0
NOR,VER,ALB,TSU,HUL,McLaren,Alpine,VER,None,10
