Driver1,Driver2,Driver3,Driver4,Driver5,Constr1,Constr2,DRS,Chip,Transfers
RIC,BOT,VER,TSU,ALB,Ferrari,Mercedes,VER,None,0
MAG,BOT,VER,TSU,ALB,RedBull,AstonMartin,VER,NoNegative,10
MAG,BOT,PER,TSU,ALB,RedBull,Ferrari,PER,None,0
MAG,GAS,PER,TSU,ALB,RedBull,Ferrari,PER,None,0
MAG,ZHO,PER,BOT,HUL,RedBull,Ferrari,PER,None,0
ALB,ZHO,NOR,BOT,HUL,RedBull,McLaren,NOR,None,10
ALB,ZHO,NOR,TSU,HUL,Ferrari,McLaren,NOR,None,0
ALB,ZHO,LEC,TSU,HUL,Ferrari,RedBull,LEC,None,0
VER,ZHO,GAS,TSU,HUL,Ferrari,McLaren,VER,None,10
VER,ZHO,GAS,TSU,HUL,Ferrari,McLaren,VER,None,0
VER,ZHO,GAS,TSU,PIA,Alpine,McLaren,PIA,ExtraDRS VER,0
RUS,NOR,SAR,ZHO,BOT,Mercedes,McLaren,NOR,Wildcard,0
LEC,NOR,SAR,ZHO,BOT,Ferrari,Mercedes,NOR,None,0
PIA,NOR,SAR,ZHO,BOT,Ferrari,Mercedes,NOR,None,0
